adgu	Aditia Gunawan
adle	Adeline Levivier
agin	Agustijanto Indrajaya
amwb	Amandine Wattelier-Bricout
anac	Andrea Acri
anol	Andrew Ollett
ansa	Anjaneya Sarma
ansc	Annette Schmiedchen
argr	Arlo Griffiths
axja	Axelle Janiak
chch	Chloé Chollet
chhu	Chhunteng Hun
chso	Socheat Chea
cole	Coline Lefrancq
csde	Csaba Dezsö
cski	Csaba Kiss
daba	Dániel Balogh
dogo	Dominic Goodall
doso	Dominique Soutif
edsw	Edward Swenson
ekba	Eko Bastiawan
emfr	Emmanuel Francis
emmo	Emmanuelle Morlock
flde	Florinda De Simini
gabo	Gabriel Bodard
gege	Gerdi Gerschheimer
gibu	Giulia Buriola
ilnu	Ilham Nurwansah
inma	Indra Manuel
jeth	Jens Thomas
jues	Julia Estève
kala	Karine Ladrech
kavi	S. Kavitha
kuch	Kunthea Chhom
mafr	Marco Franceschini
masc	Marine Schoettel
mime	Michaël Meyer
moir	A. Moise Irudayaraj
nabo	Natasja Bosma
nica	Nicolas Cane
nimi	Nina Mirnig
nlsy	Nicholas Lua Swee Yang
nuha	Nurmalia Habibah
pebi	Peter Bisschop
pepa	Peter Pasedach
pili	Pietro Maria Liuzzo
prem	Premukumar S.
rama	N. Ramaswamy
rasa	Rajat Sanyal
rozo	Roberta Zollo
ryfu	Ryosuke Furui
sagu	Samana Gururaja
sapi	Salomé Pichon
sass	S.A.S. Sarma
sath	R. Sathyanarayanan
sist	Simona Stoyanova
sybr	Sylvain Brocquet
thhu	Thomas Hunter
tilu	Timothy Lubin
tisn	Titi Surti Nastiti
toel	Tom Elliot
tykd	Tyassanti Kusumo Dewanti
utve	Uthaya Veluppillai
vagi	Valérie Gillet
vede	Véronique Degroot
vija	G. Vijayavenugopal
vile	Vincent Lefèvre
vito	Vincent Tournier
wjsa	Wayan Jarrah Sastrawan
zapa	Zakariya Pamuji Aminullah
