akampyaḥ puruṣottamaḥ | HV_90.4d
akarair viprayuktārthāḥ | HV_41.6c
akaroc ca purā yuddhaṃ | HV_App.I,31.3104a
akaroc caiva keśavaḥ | HV_App.I,31.2122b
akaroc caiva caturo | HV_App.I,41.488a
akaroc chambaras tadā | **HV_App.I,42B.860**41:1b
akaroj jātakarmādyāḥ | *HV_49.30*628:2a
akarot kiṃ jagannāthas | HV_App.I,12.235a
akarot tatra śailendraṃ | HV_App.I,42.250a
akarot putrakāmas tu | HV_9.3a
akarot pṛthivīm imām | HV_9.17d
akarot sa niṣādarāṭ | HV_App.I,31.1841b
akarot samare śatrūn | HV_110.54c
akarod arjuno rājyaṃ | *HV_23.149*395:2a
akarod asurādhipaḥ | HV_App.I,42B.2918b
akarod ṛṣisattamaḥ | HV_21.34d
akarod dānavaśreṣṭha | HV_App.I,42B.1414a
akarod dānavottamaḥ | HV_58.17d
akarod ditinandanaḥ | HV_App.I,42B.860b
akarod bhāskaropamam | HV_App.I,42.274b
akarod yadupuṃgavaḥ | HV_App.I,17.10b
akarod yadusiṃhasya | HV_App.I,19.10a
akarod yan mahābāhus | HV_91.1c
akarod rājasūyaṃ ca | HV_App.I,31.3556a
akaron meruparvatam | HV_App.I,42.203b
akaror devasattama | HV_App.I,21.98b
akaroḥ kāliyaṃ viṣṇo | HV_App.I,21.110a
akaroḥ puruṣottama | HV_App.I,13.56b
akartavyaṃ mayānagha | HV_21.32d
akartavyaṃ yadi kṛtaṃ | HV_66.19a
akartoccaritaṃ pituḥ | *HV_22.32*339:3b
akarmaṇyeṣu vṛkṣeṣu | HV_52.13e
akasmāc ca purī sā tu | HV_App.I,7.124a
akasmāt kṣobham āyānti | **HV_App.I,42B.2650**178:6a
akasmād eva cāhasat | HV_19.4d
akasmād dveṣiṇī ghorā | HV_40.26c
akāmayad api śriyam | HV_App.I,29.788b
akāmayā prabhāvatyā | HV_App.I,29F.394a
akāraṇajñaṃ devānāṃ | HV_43.36c
akāraṇārthena viruṣyamānā | HV_App.I,29.117
akāro 'si jagannātha | HV_App.I,27.102a
akāryakāriṇaṃ vāpi | HV_App.I,29A.75a
akāryaṃ cāpi sarvataḥ | HV_App.I,31.171b
akālaprāvṛḍuddhataṃ | *HV_23.150*396B:2b
akāle ca drumāḥ sarve | HV_App.I,42A.391a
akiṃcanapathaiṣiṇām | HV_App.I,41.737b
akiṃcid uktvā taṃ vipraṃ | HV_102.18a
akutsanā ca patite | HV_116.10c
akurvatāṃ devatājñām | HV_App.I,29F.77a
akūpāra iti śrutiḥ | HV_65.42d
akṛtāgrāṇi bhokṣyanti | HV_116.38a
akṛtāstrāv anudyogau | HV_App.I,18.339a
akṛte śrāddhakarmaṇi | HV_9.42b
akṛtyam ayaśasyaṃ ca | HV_App.I,21.150a
akṛtvā pādayoḥ śaucaṃ | HV_3.106a
akṛśāśvaḥ kṛśāśvaś ca | HV_9.80c
akṛṣṭapacyā pṛthivī | HV_5.31a
akṛṣṭāś ca tathā māṣāḥ | HV_App.I,41.522a
akriyāv iti sarvathā | HV_72.20b
akruddha eva bhagavān | HV_56.35c
akrūra kuru me prītim | HV_65.96a
akrūra gaccha śīghraṃ tvaṃ | HV_65.92a
akrūrapreṣaṇaṃ tathā | HV_App.I,44.25b
akrūrayajñā iti te | HV_29.27a
akrūravacanaṃ śrutvā | HV_69.27c
akrūra vada satyena | HV_App.I,16.40a
akrūrasenāpatiśaṃkaraś ca | HV_App.I,29D.242
