aṃśaṃ śūdrāsuto haret | Manu_9.151d
aṃśaṃ śūdrāsuto haret | Manu_9.153d
aṃśam aṃśaṃ yavīyāṃsa | Manu_9.117c
akatra prativāsinaḥ | Kāty_892b
akanyeti tu yaḥ kanyāṃ | NarS_v12.34a
akanyeti tu yaḥ kanyāṃ | Manu_8.225a
akartā nityayajñānāṃ | YamS-s_2.9a
akalpabālasthavira | BrhS_1.1.148a
akalpādīn api śanair | BrhS_1.1.154c
akalpā pariṣadyatra | Ang_2.6.2a
akasmāt kāraṇaṃ vinā | Kāty_843d
akāmaḥ svayam arjitam | Manu_9.209d
akāmaḥ svayam arjitam | ViS_18.43d
akāmakṛtapāpasya | ParS_8.1c
akāmataḥ kāmacāre | YajñS_2.162c
akāmataḥ kṛtaṃ pāpaṃ | Manu_11.46a
akāmataḥ kṛte pāpe | Manu_11.45a
akāmatas tu yo bhuṅkte | ParS_11.25c
akāmatas tu rājanyaṃ | Manu_11.127a
akāmam ananujñātam | Kāty_525a
akāmasya kriyā kā cid | Manu_2.4a
akāmād uddhṛtaṃ bhuvi | Kāty_811b
akāraṃ cāpy ukāraṃ ca | Manu_2.76a
akāraṃ cāpy ukāraṃ ca | ViS_55.10a
akāraṇe ca vikroṣṭā | YajñS_2.234c
akāraṇe parityaktā | Manu_3.157a
akāraṇe rakṣaṇe ca | BrhS_1.1.82a
akāraś cāsya nāmno 'nte | Manu_2.125c
akāryakaraṇaṃ kṛtam | Kāty_482b
akāryakaraṇeṣveṣu | Ang_1.171a
akāryakāriṇāṃ dānaṃ | YajñS_3.32a
akāryam anyat kuryād vā | Manu_11.96c
akālabhuktirāśauce | Ang_1.47a
akāle kāla eva vā | Manu_7.164b
akāle krayavikrayī | Manu_8.400b
akāle 'pi bṛhaspatiḥ | BrhS_1.3.9d
akāle 'pi bṛhaspatiḥ | Kāty_152d
akāle prāṇasaṃkṣayaḥ | YajñS_3.165d
akāle vāhayet tu yaḥ | BrhS_1.21.21b
akāle vāhayen naraḥ | Kāty_789b
akiṃcanairdurbalairvā | Ang_1.633a
akurvaṃs tat tathā daṇḍyas | Kāty_673c
akurvatas tu tad dhāni | Kāty_541c
akurvan daṇḍam arhati | Kāty_657d
akurvan vihitaṃ karma | Manu_11.44a
akurvan svāmine dāpyo | BrhS_1.19.53c
akūṭaṃ kūṭakaṃ brūte | YajñS_2.241a
akūṭair āyudhair yānti | YajñS_1.324c
akṛtaḥ ṣaḍvidhaś cāpi | NarS_v1.131a
akṛtaḥ sa tu vijñeyo | BrhS_1.10.60c
akṛtaḥ sa tu vijñeyo | Manu_8.199c
akṛtaṃ ca kṛtāt kṣetrād | Manu_10.114a
akṛtaṃ tad iti prāhuḥ | NarS_v1.35c
akṛtaṃ paricakṣate | NarS_v1.25b
akṛtānnaṃ tu śalyakaḥ | Manu_12.65d
akṛtān manur abravīt | Manu_8.168d
akṛtā vā kṛtā vāpi | Manu_9.136a
akṛte tarpaṇe bhūyaḥ | Ang_1.881a
akṛte pratyavāyo na | Ang_1.843a
akṛtvā kulasaṃtatim | Manu_5.159d
akṛtvā tu samīpe tu | Ang_1.957a
akṛtvā nityakarmāṇi | Ang_1.260a
akṛtvā pitṛtarpaṇam | ParS_12.13d
akṛtvā pretasaṃskāraṃ | Ang_1.142a
akṛtvā bhaikṣacaraṇam | Manu_2.187a
akṛtvā bhaikṣacaraṇam | ViS_28.52a
akṛtvā vapanaṃ tasya | ParS_9.54a
akṛtvā vapanaṃ teṣāṃ | YamS-99v_56c
akṛtvā vaiśvadevaṃ tu | ParS_1.56a
akṛtvaiva tadā śrāddhaṃ | Ang_1.67a
akṛtvaiva nivṛttiṃ yaḥ | Ang_2.8.9a
akḷptaścettu yo bhavet | Ang_1.636b
akḷptā iti sūribhiḥ | Ang_1.656b
akḷptānyeva kevalam | Ang_1.657b
akḷpto 'nyena cedbhavet | Ang_1.635d
akramoḍhāsutaś caiva | Kāty_862a
akramoḍhāsutas tv ṛkthī | Kāty_863a
akravyādas tu vatsikām | YajñS_3.272d
akravyādān vatsatarīm | Manu_11.137c
akriyākāriṇaś caiva | BrhS_1.22.3a
akriyā dūṣaṇaṃ striyāḥ | Brh_1.25.11b
akruddho 'parituṣṭaś ca | YajñS_3.53c
akrūro madhuraḥ snigdhaḥ | Kāty_065a
akrodhanaśca sumukho | Ang_1.773c
akrodhanāḥ śaucaparāḥ | Manu_3.192a
akrodhanān suprasādān | Manu_3.213a
akrodhalobhāḥ śāstrajñāḥ | BrhS_1.1.62c
akledyo 'śoṣya eva ca | ViS_20.52b
akleśena śarīrasya | Manu_4.3c
akleśenārthine yas tu | Kāty_022a
akṣatā ca kṣatā caiva | YajñS_1.67a
akṣatābhiḥ sapuṣpābhir | NarS_v5.41a
