a-u-ma tryakṣaraṃ saṃkhyaṃ | JñS_26.11s-c
akāraṃ ca daśamātram | JñS_11.01s-a
akāraḥ samudāhṛtaḥ | JñS_18.04s-b
akāramātraṃ sarvadā | JñS_11.06s-d
akāraś ca ukāraś ca | GpT_38s-a
akāraś ca ukāraś ca | JñS_18.11s-a
akāraś ca pralīyate | GpT_51s-b
akāraś caiva jāyate | JñS_18.07s-b
akāraś cokāraś caiva | JñS_10.06s-a
akāraś copajāyate | GpT_34s-b
*'kāras samudāhṛtaḥ | GpT_31s-b
akārākṣaro mūrtimān | JñS_10.10s-d
akāro jāgrad ityuktam | MJ_70s-a
akāro dakṣiṇe brahmā | JñS_26.12s-a
akāro me pralīyate | JñS_03.01s-b
akāro hastavāme ca | JñS_26.09s-a
akārokāralopena | GpT_35s-c
akrodho guruśuśruṣā | VpT_61s-a
akṣayā cāpratihatā | JñS_11.18s-b
akṣaraṃ tad idaṃ rūpaṃ | JñS_25.17s-a
akṣaraṃ tena ucyate | JñS_25.17s-d
akṣiliṅgasahasrāṇi | GpT_14s-c
akṣiliṅgasahasrāṇi | JñS_16.05s-c
akṣiliṅgasahasrāṇi | MJ_24s-c
akṣobhyaṃ vimalaṃ caiva | JñS_25.02s-a
agnivarṇṇasamaṃ nābhau | MJ_36s-a
agniś ca līyate bhānau | GpT_30s-a
agniś ca līyate bhānau | JñS_18.03s-a
agner eva prajananaṃ | VpT_23s-c
agrāhyaliṅgamudraṃ ca | JñS_25.20s-a
aṅguṣṭhamātram adhikaprabhāvam | MJ_18s-b
aṅguṣṭhamātram āsthāya | JñS_16.10s-a
aṅguṣṭhamātram āsthāya | JñS_25.19s-c
aṅguṣṭhamātram āsthāya | MJ_57s-a
*aṅguṣṭhamātro 'yaṃ | GpT_19s-a
acalatvāc ca tad dhruvam | VpT_09s-d
ajarām amarā caiva | JñS_11.18s-a
ajñānaṃ kṣatalakṣaṇam | JñS_27.03s-b
aṇimā laghimā caiva | VpT_66s-a
aṇimādiguṇopetaḥ | VpT_29s-c
aṇimādiguṇopeto | VpT_32s-c
aṇimān triśarīraś ca | VpT_67s-c
ataḥ parataraṃ nāsti | JñS_16.04s-c
ataḥ parataraṃ nāsti | MJ_23s-c
*ataḥ paratarāny astāni | GpT_13s-c
ataḥ prayojanān nityaṃ | MJ_78s-a
atālaṃ nābhisaṃyuktaṃ | JñS_24.09s-a
atikṛṣṇaṃ ca kṛṣṇāndhaṃ | MJ_20s-c
atikṛṣṇaṃ ca pittakam | JñS_25.13s-d
atikṛṣṇāntakṛṣṇāntaṃ | JñS_16.01s-c
*atikṛṣṇāntam | GpT_10s-c
atyantaṃ tāmasaṃ cittaṃ | VpT_24s-a
atyantaṃ rājasaṃ cittaṃ | VpT_23s-a
atyantaṃ śūnyalakṣaṇam | GpT_52s-d
atyantaṃ sātvikaṃ cittaṃ | VpT_20s-a
atyantaḥ paramaḥ śivaḥ | MJ_69s-d
atyantaś ca vibhūḥ śūnyaḥ | MJ_68s-c
atyantaśūnyalakṣaṇam | JñS_03.02s-d
atyantaśūnyalakṣaṇam | JñS_17.04s-d
atyātmā niṣkalātmā ca | JñS_10.04s-c
atyātmā sūryasannibhaḥ | JñS_10.14s-b
athātaḥ sampravakṣyāmi | VpT_36s-a
adhivastugataḥ bhavet | VpT_70s-b
adhītya jñānasiddhāntaṃ | JñS_27.01s-a
adhītya mānavaloke | JñS_27.06s-c
anadṛśyam anopamaṃ | JñS_08.05s-c
anantarā yena bahuṃ | JñS_21.02s-c
anādiparameśvara | VpT_02s-b
anādiparameśvara | VpT_05s-b
anirdeśyam alakṣaṇam | VpT_08s-b
anugrahanī codanī | JñS_11.23s-c
aneko viditaḥ śarvaḥ | JñS_08.02s-c
anaupamyam anādṛśyaṃ | VpT_08s-c
anaupamyam anāmayam | VpT_07s-b
antaḥkaraṇam ity uktam | JñS_11.14s-c
antarātmā paras tathā | JñS_13.02s-b
antarātmā pitāmahaḥ | MJ_69s-b
antarātmā bhaved viṣṇuḥ | JñS_10.11s-a
antaś ca paramaṃ tattvaṃ | JñS_23.03s-a
antyo bhūḥ paramaḥ śivaḥ | MJ_68s-d
andhā andhaiḥ samāyuktā | VpT_04s-a
anyo 'nyena bhramāpyate | VpT_04s-d
aparāhhne suṣuptaṃ ca | MJ_43s-c
apānaḥ kena saṃsthitaḥ | VpT_42s-b
apāne kṛkāre vā ca | JñS_12.10s-d
*apramādaś ca pañcavaite | VpT_61s-c
aprameyam anantatvād | VpT_08s-a
aprameyam anirdeśyam | VpT_07s-a
apsu devo dvijātīṇām | JñS_16.07s-a
apsu devo dvijātīnām | GpT_16s-a
apsu devo dvijātīnām | MJ_26s-a
abhyantare māsadivāsayuktam | JñS_22.02s-d
amadhyaṃ mordhvam eva ca | GpT_32s-b
amadhyaṃ mordhvam eva ca | JñS_18.05s-b
ayaṃ kṛkarabāyuś ca | JñS_12.27s-a
ayaṃ putro mahādakṣas | VpT_50s-a
arūpatvāt pracaryate | VpT_11s-d
arcayanti ca ye mohāt | GpT_17s-c
arcayanti ca ye mohāt | JñS_16.08s-c
arccayanti ca ye mūrkkhāḥ | MJ_28s-c
ardhacandrako vinduś ca | JñS_10.06s-c
