name	title
tfa-accalpuram-epigraphy	Accāḷpuram
tfa-cempiyan-mahadevi-epigraphy	Cempiyaṉ Mahādevī
tfa-cirkali-epigraphy	Cīrkāḻi
tfa-kotumpalur-epigraphy	Koṭumpāḷūr
tfa-melappaluvur-kilappaluvur-epigraphy	Mēlappaḻuvūr & Kīḻappaḻuvūr
tfa-pallava-epigraphy	Pallava
tfa-pandya-epigraphy	Pāṇḍya
tfa-sii-epigraphy	South Indian Inscriptions
tfa-tamil-outside-TN-epigraphy	Tamil Outside of Tamil Nadu (varia)
tfa-tamilnadu-epigraphy	Tamil Nadu (varia)
tfa-uttiramerur-epigraphy	Uttiramērūr
tfb-arakan-epigraphy	Arakan
tfb-badamicalukya-epigraphy	Bādāmi Cālukya
tfb-bengalcharters-epigraphy	Bengal Copper Plates
tfb-bengalded-epigraphy	Bengal Dedication Inscriptions
tfb-bhaumakara-epigraphy	Bhaumakara
tfb-daksinakosala-epigraphy	Dakṣiṇa Kosala
tfb-eiad-epigraphy	Early Andhra
tfb-gangaeast-epigraphy	Eastern Gaṅga
tfb-kalyanacalukya-epigraphy	Kalyāṇa Cālukya
tfb-licchavi-epigraphy	Licchavi
tfb-maitraka-epigraphy	Maitraka
tfb-parivrajaka-epigraphy	Parivrājaka
tfb-rastrakuta-epigraphy	Rāṣṭrakūṭa
tfb-sailodbhava-epigraphy	Śailodbhava
tfb-satavahana-epigraphy	Satavahana
tfb-somavamsin-epigraphy	Somavaṁśin
tfb-telugu-epigraphy	Telugu Inscriptions
tfb-vengicalukya-epigraphy	Eastern Cālukya
tfb-visnukundin-epigraphy	Viṣṇukuṇḍin
tfc-campa-epigraphy	Campa
tfc-khmer-epigraphy	Khmer
tfc-nusantara-epigraphy	Nusantara Epigraphy
tfd-nusantara-philology	Nusantara Philology
tfd-sanskrit-philology	Sanskrit
